 ,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
71,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,midas,,body mass,0.089125,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
71,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,midas,,brain size,0.00122,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
72,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,midas,,body mass,0.087207,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
72,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,midas,,brain size,0.001284,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
73,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.029772,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
73,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.000802,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
74,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.03788,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
74,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.000774,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
75,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.040513,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
75,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.000845,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
76,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.051948,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
76,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.00085,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
77,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.077081,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
77,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.001121,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
78,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.07433,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
78,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.001125,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
79,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.082891,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
79,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.00107,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
80,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.099754,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
80,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.001232,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
81,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.089543,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
81,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.001099,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
82,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,body mass,0.083681,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
82,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigriceps,,brain size,0.001113,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
83,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.040145,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
83,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.000974,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
84,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.049047,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
84,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001061,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
85,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.062603,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
85,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.0012,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
86,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.077132,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
86,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001237,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
87,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.083928,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
87,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001301,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
88,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.094456,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
88,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.00135,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
89,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.045646,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
89,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.00095,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
90,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.022306,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
90,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.000607,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
91,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.026676,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
91,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.000745,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
92,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.119796,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
92,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001471,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
93,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.102054,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
93,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001373,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
94,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.127825,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
94,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001509,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
95,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.121093,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
95,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001525,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
96,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.027773,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
96,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.000782,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
97,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.032848,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
97,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.00084,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
98,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.052452,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
98,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001082,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
99,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.060025,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
99,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001094,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
100,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,body mass,0.072051,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
100,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,pyriformis,,brain size,0.001225,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
101,Chordata,Mammalia,Primates,Cercopithecidae,Semnopithecus,entellus,,brain size,111.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
101,Chordata,Mammalia,Primates,Cercopithecidae,Semnopithecus,entellus,,body mass,7010,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
102,Chordata,Mammalia,Primates,Cercopithecidae,Semnopithecus,entellus,,brain size,105,g,,1,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
102,Chordata,Mammalia,Primates,Cercopithecidae,Semnopithecus,entellus,,body mass,4400,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
103,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,callitrichus,,brain size,81.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
103,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,callitrichus,,body mass,3000,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
104,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,griseoviridis,,brain size,60,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
104,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,griseoviridis,,body mass,1908,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
105,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,cynosurus,,brain size,72,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
105,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,cynosurus,,body mass,2920,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
106,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,sabaeus,,brain size,74.8,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
106,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,sabaeus,,body mass,1440,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
107,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,rufoviridis,,brain size,51,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
107,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,rufoviridis,,body mass,2050,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
108,Chordata,Mammalia,Primates,Cercopithecidae,Papio,cynocephalus,,brain size,197,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
109,Chordata,Mammalia,Primates,Cercopithecidae,Cercocebus,fuliginosus,,brain size,103.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
109,Chordata,Mammalia,Primates,Cercopithecidae,Cercocebus,fuliginosus,,body mass,3090,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
